,count,mean,std,min,25%,50%,75%,max,missing_%
surface_m2,1211.0,1.097531335888682,4.144682919452055,-0.5223880597014925,-0.23880597014925373,0.0,0.7611940298507462,29.313432835820894,0.0
log_surface,1211.0,0.12560497160752673,0.7918214042508566,-2.3293586004854894,-0.3988839986791576,0.0,0.6011160013208424,2.743168366661091,0.0
rooms,1211.0,10.564822460776218,69.43272897148096,0.0,0.0,0.0,1.0,603.0,0.0
bathrooms,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_rooms,1211.0,10.564822460776218,69.43272897148096,0.0,0.0,0.0,1.0,603.0,0.0
rooms_per_m2,1211.0,4.6780236285493215,39.90299117119042,-0.7086614173228347,-0.4055118110236221,0.0,0.5984251968503936,652.8267716535433,0.0
city_tier,1211.0,2.9694467382328655,0.17217502462026382,2.0,3.0,3.0,3.0,3.0,0.0
prop_tier,1211.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
city_encoded,1211.0,3.8554913294797686,0.660397440225953,0.0,4.0,4.0,4.0,5.0,0.0
is_sale,1211.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
is_apartment,1211.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
is_villa,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_studio,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
